dataX,dataY
-2.83,2.1
-3.11,2.2
-3.38,2.2
-3.61,2.09
-3.79,1.95
-3.95,1.77
-4.1,1.53
-4.14,1.24
-4.14,1.06
-4.02,0.92
-3.9,0.87
-3.63,0.86
-3.55,0.94
-3.38,1.06
-3.35,1.1
-3.38,1.01
-3.42,0.88
-3.42,0.76
-3.43,0.56
-3.5,0.43
-3.58,0.31
-3.69,0.21
-3.82,0.15
-3.82,0.35
-3.73,0.43
-3.62,0.5
-3.46,0.53
-3.2,0.67
-3.07,0.75
-2.97,0.83
-2.84,0.95
-2.67,1.07
-2.61,1.14
-2.57,1.19
-2.44,0.96
-2.33,0.89
-2.18,0.84
-1.97,0.86
-1.86,0.89
-1.73,0.94
-1.64,1.0
-1.54,1.07
-1.38,1.07
-1.25,1.13
-1.13,1.21
-1.02,1.3
-0.96,1.42
-0.95,1.5
-1.01,1.52
-1.06,1.46
-1.11,1.39
-1.21,1.31
-1.34,1.26
-1.42,1.22
-1.44,1.24
-1.38,1.35
-1.34,1.51
-1.33,1.68
-1.32,1.79
-1.33,1.93
-1.39,2.07
-1.5,2.18
-1.68,2.21
-1.79,2.21
-1.94,2.17
-2.11,2.09
-2.18,2.03
-2.24,1.98
-2.32,1.91
-2.39,1.79
-2.43,1.65
-2.5,1.53
-2.53,1.47
-2.59,1.36
-2.69,1.26
-2.78,1.16
-2.83,1.11
-2.93,1.05
-2.99,1.01
-3.06,0.96
-3.09,0.94
-3.46,0.78
-3.57,0.75
-3.66,0.69
-3.76,0.61
-3.9,0.55
-4.01,0.48
-4.06,0.43
-4.1,0.31
-4.1,0.23
-4.1,0.12
-4.09,0.1
-4.0,0.03
-3.91,-0.01
-3.81,-0.04
-3.71,-0.04
-3.57,0.01
-3.53,0.07
-3.4,0.15
-3.35,0.21
-3.31,0.29
-3.31,0.39
-3.27,0.52
-3.25,0.63
-3.16,0.76
-3.16,0.83
-3.16,0.87
-3.14,0.97
-2.92,1.71
-2.94,1.81
-3.02,1.82
-3.06,1.82
-3.12,1.82
-3.15,1.71
-3.26,1.54
-3.29,1.47
-3.38,1.37
-3.52,1.23
-3.67,1.1
-3.78,1.07
-3.81,1.08
-3.82,1.27
-3.81,1.5
-3.73,1.67
-3.6,1.83
-3.5,1.94
-3.26,2.0
-3.14,1.99
-2.99,1.93
-2.94,1.91
-2.81,1.87
-2.7,1.95
-2.7,2.02
-2.83,2.11
-2.97,2.19
-3.24,2.19
-3.49,2.13
-3.7,1.99
-3.86,1.85
-4.04,1.65
-4.12,1.38
-4.13,1.04
-3.94,0.92
-3.82,0.87
-3.6,0.87
-3.44,0.97
-3.33,1.09
-3.42,0.67
-3.55,0.37
-3.62,0.19
-3.78,0.17
-3.91,0.19
-3.88,0.3
-3.79,0.39
-3.66,0.48
-3.58,0.52
-3.46,0.55
-3.35,0.63
-3.05,0.75
-2.9,0.87
-2.77,0.99
-2.66,1.09
-2.61,1.18
-2.56,1.08
-2.51,1.03
-2.43,0.95
-2.27,0.87
-2.06,0.84
-1.9,0.84
-1.76,0.9
-1.66,0.99
-1.52,1.03
-1.46,1.07
-1.34,1.07
-1.21,1.11
-1.12,1.17
-1.02,1.3
-0.94,1.42
-0.95,1.56
-0.17,2.14
-0.03,2.15
0.09,2.15
0.16,2.11
0.23,2.12
0.29,2.19
0.4,2.21
0.44,2.23
0.5,2.23
0.58,2.23
0.64,2.21
0.7,2.18
0.79,2.1
0.86,1.99
0.86,1.87
0.86,1.71
0.86,1.59
0.78,1.47
0.78,1.35
0.74,1.3
0.7,1.2
0.86,1.2
1.01,1.28
1.1,1.39
1.18,1.54
1.24,1.76
1.25,1.87
1.3,1.96
1.32,2.08
1.38,2.24
1.5,2.47
1.58,2.65
1.76,2.86
1.94,2.96
2.17,2.97
2.27,2.88
2.28,2.7
2.26,2.55
2.26,2.43
2.22,2.35
2.17,2.28
2.1,2.19
2.02,2.07
1.89,1.95
1.76,1.83
1.67,1.75
1.58,1.7
1.48,1.65
1.54,1.86
1.55,2.08
1.62,2.23
1.68,2.39
1.74,2.48
1.79,2.57
1.85,2.64
1.89,2.69
1.98,2.73
2.02,2.71
2.04,2.59
2.02,2.48
1.99,2.4
1.94,2.34
1.86,2.23
1.79,2.15
1.7,2.04
1.62,1.96
1.55,1.88
1.54,1.83
1.47,1.7
1.45,1.56
1.45,1.43
1.45,1.34
1.43,1.23
1.48,1.15
1.54,1.09
1.62,1.05
1.74,1.05
1.88,1.12
1.96,1.22
2.01,1.27
2.09,1.37
2.2,1.57
2.25,1.69
2.32,1.81
2.44,1.9
2.58,2.0
2.65,2.06
2.83,2.15
2.96,2.16
3.12,2.16
3.25,2.16
3.38,2.16
3.46,2.12
3.52,2.07
3.55,2.03
3.53,1.94
3.48,1.87
3.38,1.91
3.34,1.94
3.22,1.95
3.1,1.96
3.02,1.96
2.88,1.96
2.74,1.86
2.65,1.79
2.56,1.68
2.5,1.59
2.45,1.47
2.43,1.28
2.43,1.2
2.47,1.11
2.56,1.09
2.65,1.09
2.74,1.17
2.8,1.29
2.86,1.39
2.9,1.45
2.93,1.52
2.98,1.62
3.01,1.7
3.03,1.78
3.05,1.84
3.12,1.83
3.25,1.82
3.34,1.82
3.3,1.73
3.27,1.63
3.26,1.48
3.23,1.35
3.22,1.26
3.21,1.21
3.22,1.17
3.25,1.13
3.3,1.12
3.36,1.12
3.44,1.16
3.51,1.25
3.56,1.31
3.62,1.42
3.67,1.48
3.71,1.6
3.74,1.71
3.78,1.84
3.8,1.92
3.83,1.99
3.87,2.09
3.88,2.12
3.97,2.12
4.04,2.15
4.06,2.31
3.98,2.39
3.97,2.51
4.01,2.59
4.1,2.64
4.16,2.66
4.22,2.65
4.26,2.62
4.29,2.55
4.29,2.47
4.29,2.44
4.24,2.39
4.2,2.35
4.14,2.32
4.08,2.13
4.18,2.13
4.18,2.03
4.14,1.96
4.1,1.89
4.06,1.76
4.05,1.65
3.98,1.47
3.96,1.35
3.94,1.23
3.94,1.16
3.94,1.13
4.02,1.1
4.1,1.11
4.19,1.19
4.28,1.27
4.34,1.39
4.36,1.55
4.39,1.63
4.48,1.77
4.54,1.84
4.62,1.91
4.7,1.99
4.78,2.04
4.86,2.11
4.94,2.15
5.07,2.16
5.21,2.17
5.27,2.17
5.33,2.17
5.64,3.01
5.9,3.0
5.94,2.9
5.88,2.79
5.82,2.63
5.76,2.5
5.7,2.36
5.69,2.18
5.58,1.99
5.52,1.72
5.48,1.51
5.46,1.35
5.47,1.16
5.51,1.11
5.62,1.11
5.74,1.19
5.82,1.29
5.88,1.43
5.93,1.49
5.98,1.58
6.02,1.55
6.06,1.5
6.04,1.4
5.98,1.32
5.91,1.24
