dataX,dataY
-0.21561308,-0.6707771
-0.21846911,-0.6736331
-0.22132513,-0.6736331
-0.22418116,-0.6736331
-0.22703719,-0.6736331
-0.22989322,-0.6736331
-0.23274925,-0.6736331
-0.23560528,-0.6736331
-0.23274925,-0.6736331
-0.22989322,-0.6736331
-0.22703719,-0.6736331
-0.22418116,-0.6736331
-0.22132513,-0.6736331
-0.21846911,-0.6736331
-0.21561308,-0.6707771
-0.21275705,-0.6707771
-0.20990102,-0.6707771
-0.20704499,-0.6707771
-0.20418896,-0.6707771
-0.20704499,-0.6707771
-0.20990102,-0.6707771
-0.21275705,-0.6707771
-0.16134852,-0.61936855
-0.15849249,-0.62222457
-0.15563646,-0.62222457
-0.15278043,-0.62222457
-0.14992441,-0.62508065
-0.15278043,-0.62222457
-0.15563646,-0.62222457
-0.15849249,-0.62222457
-0.13564426,-0.6307927
-0.13278823,-0.6307927
-0.1299322,-0.6336487
-0.12707618,-0.6365047
-0.12422014,-0.6336487
-0.12707618,-0.6336487
-0.1299322,-0.6336487
-0.13278823,-0.6307927
-0.13278823,-0.6393608
-0.13564426,-0.6422168
-0.13850029,-0.6450728
-0.14135632,-0.6450728
-0.14421235,-0.64792883
-0.14706838,-0.6507849
-0.14992441,-0.6507849
-0.15278043,-0.6536409
-0.15563646,-0.6536409
-0.15849249,-0.65649694
-0.16134852,-0.65649694
-0.16420455,-0.65935296
-0.16134852,-0.65649694
-0.15849249,-0.65649694
-0.15563646,-0.65649694
-0.15278043,-0.6536409
-0.14992441,-0.6507849
-0.14706838,-0.6507849
-0.14421235,-0.64792883
-0.14135632,-0.6450728
-0.13850029,-0.6450728
-0.13564426,-0.6422168
-0.23560528,-0.55082387
-0.23274925,-0.5536799
-0.22989322,-0.5565359
-0.22703719,-0.559392
-0.22418116,-0.562248
-0.22132513,-0.565104
-0.22132513,-0.56796
-0.21846911,-0.56796
-0.21561308,-0.57081604
-0.21561308,-0.5736721
-0.21275705,-0.57652813
-0.20990102,-0.57938415
-0.20704499,-0.58224016
-0.20418896,-0.5850962
-0.20133293,-0.58795226
-0.1984769,-0.5908083
-0.19562088,-0.5936643
-0.19276485,-0.5965203
-0.18990882,-0.5993764
-0.18705279,-0.6022324
-0.18419676,-0.6022324
-0.18134072,-0.6050884
-0.1784847,-0.6079444
-0.17562866,-0.61080045
-0.1784847,-0.6079444
-0.18134072,-0.6050884
-0.18419676,-0.6022324
-0.18705279,-0.5993764
-0.18990882,-0.5965203
-0.19276485,-0.5965203
-0.19562088,-0.5936643
-0.19562088,-0.5908083
-0.1984769,-0.5908083
-0.20133293,-0.58795226
-0.20418896,-0.5850962
-0.20704499,-0.58224016
-0.20990102,-0.57938415
-0.21275705,-0.57652813
-0.21275705,-0.5736721
-0.21561308,-0.57081604
-0.21846911,-0.56796
-0.22132513,-0.565104
-0.22418116,-0.562248
-0.22703719,-0.559392
-0.22989322,-0.5565359
-0.23274925,-0.5536799
-0.26130953,-0.50227135
-0.26130953,-0.5051274
-0.26130953,-0.50798345
-0.25845352,-0.51083946
-0.25845352,-0.5136955
-0.25559747,-0.5165515
-0.25559747,-0.5194075
-0.25274146,-0.5222636
-0.24988542,-0.5251196
-0.24988542,-0.5279756
-0.2470294,-0.53083163
-0.2470294,-0.5336877
-0.24417336,-0.5365437
-0.2470294,-0.5336877
-0.2470294,-0.53083163
-0.24988542,-0.5279756
-0.24988542,-0.5251196
-0.25274146,-0.5222636
-0.25559747,-0.5194075
-0.25559747,-0.5165515
-0.25845352,-0.5136955
-0.25845352,-0.51083946
-0.26130953,-0.50798345
-0.26130953,-0.5051274
-0.28415778,-0.43087062
-0.28415778,-0.43372667
-0.28415778,-0.43658268
-0.28130174,-0.43943873
